loss,RMSE,mean_absolute_error,batch
0.005889998376369476,0.07664098143577576,0.039787495881319045,4
0.006930418219417334,0.08312849104404449,0.04454776719212532,9
0.006751588452607394,0.08215166181325913,0.042834526300430296,14
0.0070372365415096285,0.08366406112909316,0.0452810175716877,19
0.0067789236083626745,0.08219705820083618,0.046623481810092925,24
0.007951224502176047,0.0891190454363823,0.05100084692239761,29
0.00666955579072237,0.08155556470155716,0.04556254968047142,34
0.007488714158535003,0.08622657507658005,0.049071500450372695,39
0.007480733841657638,0.08642048239707947,0.04882897287607193,44
0.008281780406832695,0.09064445495605469,0.051287871599197385,49
0.006372964289039373,0.07964849472045898,0.04456930011510849,54
0.006560467649251223,0.08072727173566818,0.04520740061998367,59
0.005148870404809713,0.07147440314292908,0.039593920856714246,64
0.005539763066917658,0.07426131367683411,0.0402959294617176,69
0.0053043273277580735,0.07247766256332397,0.039787980169057845,74
0.0051303084939718245,0.07135867103934287,0.03880254700779915,79
0.005373690091073513,0.07316570729017258,0.038786555826663974,84
0.005816063983365894,0.07575304359197617,0.04050062820315361,89
0.005589282978326083,0.07452661544084549,0.03856766149401665,94
0.0061468884348869325,0.07785716354846954,0.04370243027806282,99
0.0075509781949222084,0.08684899210929871,0.0491944819688797,104
0.007961044926196337,0.08904563784599304,0.052349403500556946,109
0.008161412086337805,0.08999310284852982,0.049934227019548416,114
0.007274215575307608,0.08525192141532897,0.047305694222450255,119
0.00811490872874856,0.08995185345411301,0.05210448876023292,124
0.008917056862264872,0.09416166692972183,0.05431666523218155,129
0.008639919944107533,0.0923850953578949,0.053529047220945356,134
0.008125415630638599,0.090010966360569,0.05087763518095016,139
0.006889780983328819,0.08268441259860992,0.04163890406489372,144
0.00674316817894578,0.08181763738393784,0.04281199723482132,149
0.006906664464622736,0.08297318369150161,0.04269535169005394,154
0.0061358829028904435,0.077800652384758,0.04125241115689278,159
0.005148540483787656,0.07135472744703293,0.03898864984512329,164
0.005765646230429411,0.07569838017225265,0.041564247012138365,169
0.005672288686037063,0.07504250854253769,0.04013562723994255,174
0.005799695104360581,0.07587580531835555,0.042017069458961484,179
0.006259263958781958,0.07886623740196227,0.04372496157884598,184
0.004727838467806578,0.06859879866242409,0.03727704733610153,189
0.005389842158183456,0.07311517745256424,0.040076316148042676,194
0.006505456380546093,0.0805136352777481,0.04548649191856384,199
0.007056292984634638,0.08369432836771011,0.04692697376012802,204
0.006658760085701943,0.08143237829208375,0.04671793803572655,209
0.007742380257695913,0.08733836561441422,0.04863615930080414,214
0.006614222936332226,0.08093728572130203,0.04469277486205101,219
0.004702448751777411,0.06789422631263733,0.03485232256352901,224
0.005176860000938177,0.07183154523372651,0.03847123607993126,229
0.004672193527221679,0.06795548275113106,0.036951038613915445,234
0.005682095140218735,0.07500767111778259,0.0410646915435791,239
0.007779096812009811,0.08812472224235535,0.050786449760198596,244
0.008144247718155384,0.09019840806722641,0.052137453109025955,249
0.00716712735593319,0.08458282351493836,0.04810232594609261,254
0.0058982398360967634,0.07663052082061768,0.04141687974333763,259
0.005533537268638611,0.07435331046581269,0.03883291631937027,264
0.0060247634537518024,0.07750229239463806,0.04078736752271652,269
0.005701338313519955,0.07508037090301514,0.04061161354184151,274
