loss,RMSE,mean_absolute_error,batch
0.06128594055771828,0.23738414645195008,0.15693365037441254,5344
0.07502030953764915,0.26977682709693906,0.18018128871917724,5349
0.08052626587450504,0.2719048231840134,0.18206978738307952,5354
0.07781803905963898,0.2689722031354904,0.18006729185581208,5359
0.08302636332809925,0.2820498138666153,0.1845027521252632,5364
0.10722459182143211,0.31789160072803496,0.2166899710893631,5369
0.07851617336273194,0.2783202052116394,0.18123871386051177,5374
0.06476858388632536,0.24049946069717407,0.1595437005162239,5379
0.05781886875629425,0.2314756453037262,0.15407937467098237,5384
0.08924278207123279,0.28732064366340637,0.2026287853717804,5389
0.06779854372143745,0.2531102478504181,0.1660781279206276,5394
0.054380931332707404,0.22499800175428392,0.16068565994501113,5399
0.07941187769174576,0.273812273144722,0.18072281330823897,5404
0.09231705125421286,0.28691378980875015,0.1993755131959915,5409
0.08217126429080963,0.2820551484823227,0.18365856409072875,5414
0.07941941395401955,0.2727969855070114,0.19212502837181092,5419
0.08376579731702805,0.27621285915374755,0.18512408882379533,5424
0.08081153184175491,0.28290737271308897,0.1871715158224106,5429
0.06104352250695229,0.24020467400550843,0.1600354328751564,5434
0.07604374513030052,0.2717651814222336,0.16716241091489792,5439
0.08068510591983795,0.2715916186571121,0.18047463446855544,5444
0.06803552433848381,0.25500607788562774,0.17834170460700988,5449
0.060792100802063945,0.2407423287630081,0.1548830896615982,5454
0.06284691989421845,0.24669839143753053,0.1788733959197998,5459
0.05589297413825989,0.22737157046794892,0.146550689637661,5464
0.05783136859536171,0.23666948080062866,0.15881671011447906,5469
0.07485479861497879,0.27003714442253113,0.17814870476722716,5474
0.07413397058844566,0.2610547810792923,0.17993744760751723,5479
0.0773655816912651,0.2738522976636887,0.18947692811489106,5484
0.07123836576938629,0.2633401244878769,0.1790253922343254,5489
0.07801921367645263,0.2719604194164276,0.1861685648560524,5494
0.07636030316352845,0.26486300826072695,0.17272144854068755,5499
0.09355128407478333,0.29340305626392366,0.19518393874168397,5504
0.055572162941098215,0.22813379466533662,0.15279698967933655,5509
0.06418967768549919,0.24729564189910888,0.1648342564702034,5514
0.0673402763903141,0.2538163363933563,0.1762202948331833,5519
0.05644586533308029,0.23177526891231537,0.15644697099924088,5524
0.045585644990205766,0.20548128187656403,0.1356481447815895,5529
0.06828399263322353,0.24758681058883666,0.1642235279083252,5534
0.0763456780463457,0.2706486344337463,0.17523617297410965,5539
0.05919606238603592,0.2397778272628784,0.1565483495593071,5544
0.06504805088043213,0.25239247381687163,0.1708579480648041,5549
0.10403188616037369,0.3215270757675171,0.21703609824180603,5554
0.08948894143104554,0.2975135624408722,0.18737070858478547,5559
0.07132510989904403,0.2660947501659393,0.1756361246109009,5564
0.062165084108710286,0.23957651257514953,0.16001714915037155,5569
0.056423681974411014,0.2324449449777603,0.1567274808883667,5574
0.09954925179481507,0.31319965720176696,0.20936941504478454,5579
0.047551918774843216,0.21601147949695587,0.15207017958164215,5584
0.08220376372337342,0.2828473627567291,0.18038803040981294,5589
0.07325736135244369,0.2638311892747879,0.18355216085910797,5594
0.0933739885687828,0.3003303110599518,0.20401368737220765,5599
0.09266280531883239,0.30138412714004514,0.19304262697696686,5604
0.10531647205352783,0.32429535388946534,0.2157483547925949,5609
0.11332176700234413,0.3306252062320709,0.22439230978488922,5614
0.09599520564079285,0.3092057049274445,0.2113045185804367,5619
0.08687594532966614,0.29075411558151243,0.19079094529151916,5624
0.059457868337631226,0.23983147144317626,0.16170983910560607,5629
0.08247290626168251,0.28145234286785126,0.18670549988746643,5634
0.07070913091301918,0.25998213291168215,0.1723581776022911,5639
0.08179424405097961,0.2836562037467957,0.18254471719264984,5644
0.09541302919387817,0.30175218880176546,0.20483448058366777,5649
0.10717320069670677,0.3226676255464554,0.21798972487449647,5654
0.07885026000440121,0.27248887419700624,0.18058325350284576,5659
0.0972242072224617,0.30899698138237,0.19901180565357207,5664
0.08028090521693229,0.27804498970508573,0.17539035230875016,5669
0.09741204679012298,0.309748113155365,0.2103364050388336,5674
0.10411005616188049,0.3174991875886917,0.21476434767246247,5679
0.08981894478201866,0.287726366519928,0.18671605736017227,5684
0.09724540784955024,0.30585293769836425,0.2003009185194969,5689
0.08150718910619617,0.2653686434030533,0.18133096173405647,5694
0.09586260467767715,0.30824861526489256,0.20783346593379975,5699
0.09611579924821853,0.30799770951271055,0.21462827920913696,5704
0.08557774350047112,0.28483966290950774,0.19447386860847474,5709
0.08441723212599754,0.28641653060913086,0.19460949897766114,5714
0.07891253978013993,0.2781956702470779,0.1897209346294403,5719
0.0704935222864151,0.25926588773727416,0.1776706337928772,5724
0.09748933613300323,0.3087318241596222,0.2106533020734787,5729
0.09019693061709404,0.28788516819477084,0.19914892166852952,5734
0.08399456515908241,0.2839741200208664,0.17792240232229234,5739
0.059064346551895144,0.24230543971061708,0.15752028822898864,5744
0.06315851658582687,0.24927981495857238,0.1668783813714981,5749
0.08486120700836182,0.2854481995105743,0.18246514797210694,5754
0.09641138166189193,0.2983534574508667,0.1961848959326744,5759
0.0726723089814186,0.2585762232542038,0.17623240500688553,5764
0.0726417750120163,0.26919440627098085,0.1744094967842102,5769
0.06982331648468972,0.2606551706790924,0.17058816850185393,5774
0.08246041610836982,0.2846947073936462,0.1919662684202194,5779
0.07877940014004707,0.27743435502052305,0.18837169408798218,5784
0.07457310035824775,0.2583818554878235,0.17183804512023926,5789
0.09914318546652794,0.3045370042324066,0.2020421326160431,5794
0.07319318689405918,0.261884742975235,0.16224052160978317,5799
0.10782174430787564,0.31665544509887694,0.21776369959115982,5804
0.07917589768767357,0.2692286252975464,0.18618350476026535,5809
0.10503469109535217,0.32045832872390745,0.21111109852790833,5814
0.08245049491524696,0.2772903829813004,0.19610118865966797,5819
0.10586161464452744,0.32417851090431216,0.2041071116924286,5824
0.051999254152178764,0.22056587189435958,0.1378142401576042,5829
0.08321660980582238,0.28124176561832426,0.17086132019758224,5834
0.08081709444522858,0.27332969307899474,0.19054919332265854,5839
0.10302199125289917,0.3182015061378479,0.2071337193250656,5844
0.09526971727609634,0.3030667513608932,0.2029016673564911,5849
0.0528756819665432,0.21221398562192917,0.13877799808979036,5854
0.06498359031975269,0.2389165237545967,0.16080268621444702,5859
0.09053371399641037,0.29701390862464905,0.17675534635782242,5864
0.06770876832306386,0.2541076421737671,0.17027718126773833,5869
