Loss,Accuracy,Recall,Precision,F1-Score,Batch
0.39519092,0.8434059,0.7926356,0.89937234,0.8425717,505
0.37368938,0.862705,0.81408066,0.9085,0.858659,510
0.37266028,0.8509607,0.8043042,0.9016592,0.8500597,515
0.39029738,0.84858507,0.79716796,0.8981092,0.8444883,520
0.3998929,0.84223706,0.7901426,0.8962896,0.83979875,525
0.38935223,0.8513194,0.7995642,0.9040565,0.84859425,530
0.37888765,0.85054666,0.8043685,0.9043412,0.8514022,535
0.4511827,0.82302684,0.7670446,0.88360125,0.82107025,540
0.43460047,0.82807904,0.7734167,0.88623095,0.8258617,545
0.36674806,0.85531384,0.81021994,0.9033235,0.8542183,550
0.37685466,0.85349774,0.805871,0.9018503,0.8511216,555
0.4054748,0.83996695,0.7896931,0.8926472,0.8379572,560
0.40062508,0.84520394,0.8002276,0.8980984,0.8462589,565
0.43772507,0.82279277,0.769401,0.8854881,0.82322574,570
0.4006983,0.8455265,0.7954821,0.8984723,0.8437682,575
0.429866,0.8263189,0.7696419,0.88681763,0.8238955,580
0.43327248,0.8319499,0.7749843,0.8890102,0.8280132,585
0.40921763,0.84054065,0.7877345,0.8943124,0.8376262,590
0.40060022,0.8457027,0.7938481,0.8975461,0.842393,595
0.36984158,0.8562731,0.8054742,0.908223,0.8536913,600
0.40265396,0.840549,0.79293275,0.8930686,0.83998996,605
0.37692448,0.85012084,0.7988804,0.904352,0.848295,610
0.36298552,0.86058074,0.8142542,0.9149115,0.86152744,615
0.3846663,0.8530918,0.8037072,0.90540916,0.85149425,620
0.41788566,0.8362773,0.78170323,0.89190006,0.83313507,625
0.38240132,0.8519239,0.8044637,0.9002087,0.84952086,630
0.37248567,0.8528018,0.80896837,0.9038792,0.8536618,635
0.40804517,0.83689076,0.7809832,0.8925845,0.83287233,640
0.35936415,0.8606017,0.8120274,0.9078677,0.8572677,645
0.39073822,0.8470418,0.7969384,0.9010713,0.8456747,650
0.3924309,0.84863275,0.8003586,0.9025685,0.8481634,655
0.41950008,0.8356324,0.77784854,0.8943873,0.8319985,660
0.40107754,0.8387639,0.78880435,0.8921885,0.8370319,665
