loss,acc,recall,precision,f1Score,batch
0.461182851,0.926891375,0.926891375,0.926891375,0.926891369,10
0.376714638,0.959101295,0.959101295,0.959101295,0.959101301,21
0.350234702,0.955451679,0.955451679,0.955451679,0.955451685,32
0.280724686,0.973241758,0.973241758,0.973241758,0.973241752,43
0.273782372,0.977546787,0.97754674,0.977546781,0.977546763,54
0.24313556,0.993523073,0.993523026,0.993523067,0.993523043,65
0.240839794,0.996686745,0.996686745,0.996686745,0.996686739,76
0.236897603,1.001902819,1.001902819,1.001902819,1.001902819,87
0.222587843,1.004453993,1.004453993,1.004453993,1.004453993,98
0.230344398,0.999855804,0.999855804,0.999855804,0.999855804,109
0.208287792,1.01138196,1.01138196,1.01138196,1.011381972,120
0.223851311,1.00469656,1.00469656,1.00469656,1.00469656,131
0.198454519,1.013170338,1.013170338,1.013170338,1.01317035,142
0.189314914,1.018457937,1.018457937,1.018457937,1.018457949,153
0.182411978,1.026307249,1.026307249,1.026307249,1.026307249,164
0.192215533,1.025544453,1.025544453,1.025544453,1.025544459,175
0.154095509,1.039082479,1.039082479,1.039082479,1.039082479,186
0.173223861,1.030609846,1.030609846,1.030609846,1.030609852,197
0.179475415,1.025596762,1.025596762,1.025596762,1.025596762,208
0.172145231,1.031629372,1.031629372,1.031629372,1.031629378,219
0.171409017,1.030059338,1.030059338,1.030059338,1.030059338,230
0.159526784,1.035510254,1.035510254,1.035510254,1.035510254,241
0.163405993,1.034603071,1.034603071,1.034603071,1.034603077,252
0.149876821,1.038533115,1.038533115,1.038533115,1.038533121,263
0.164820471,1.03023119,1.03023119,1.03023119,1.03023119,274
0.173925804,1.026849365,1.026849365,1.026849407,1.026849377,285
0.157141683,1.03493228,1.03493228,1.03493228,1.03493228,296
0.164442565,1.030801249,1.030801249,1.030801249,1.030801243,307
0.219311664,1.006534386,1.006534386,1.006534386,1.00653438,318
0.216387086,1.006615829,1.006615829,1.006615829,1.006615829,329
0.201351665,1.013398504,1.013398504,1.013398504,1.013398504,340
0.220908774,1.002406549,1.002406502,1.002406543,1.002406508,351
0.205242161,1.009957981,1.009957981,1.009957981,1.009957975,362
0.193179078,1.015668106,1.015668106,1.015668106,1.0156681,373
0.191677608,1.015507793,1.015507793,1.015507841,1.015507811,384
0.208191201,1.007592583,1.007592583,1.007592583,1.007592577,395
0.184573346,1.01850872,1.01850872,1.01850872,1.01850872,406
0.205593377,1.011940861,1.011940861,1.011940861,1.011940855,417
0.183783825,1.019500494,1.019500494,1.019500494,1.019500488,428
0.237123857,0.99381566,0.99381566,0.99381566,0.99381566,439
0.216888438,1.001941299,1.001941299,1.001941299,1.001941299,450
0.158415805,1.033022976,1.033022976,1.033022976,1.033022976,461
0.166818064,1.028527403,1.028527403,1.028527403,1.028527409,472
0.171700544,1.025537014,1.025537014,1.025537014,1.025537014,483
0.169844095,1.025666475,1.025666475,1.025666475,1.025666475,494
0.176329461,1.023458529,1.023458529,1.023458529,1.023458534,505
0.152373151,1.034826183,1.034826183,1.034826183,1.034826177,516
0.156448226,1.03236165,1.03236165,1.03236165,1.03236165,527
0.177283448,1.02375474,1.02375474,1.02375474,1.023754734,538
0.175223048,1.024905252,1.024905252,1.024905252,1.024905258,549
0.178389546,1.023130465,1.023130465,1.023130465,1.023130465,560
0.16132815,1.033111572,1.033111572,1.033111572,1.033111572,571
0.161297225,1.031069708,1.031069708,1.031069708,1.031069708,582
0.169695054,1.025883961,1.025883961,1.025883961,1.025883967,593
0.154100279,1.03269763,1.03269763,1.03269763,1.03269763,604
0.175605047,1.022589684,1.022589684,1.022589725,1.022589695,615
0.180604001,1.019815636,1.019815636,1.019815677,1.019815654,626
0.193081421,1.0111866,1.0111866,1.0111866,1.0111866,637
0.180690113,1.020140362,1.020140362,1.020140362,1.020140374,648
0.181993958,1.01996994,1.01996994,1.01996994,1.019969946,659
0.179060098,1.018172741,1.018172741,1.018172741,1.018172735,670
0.172613017,1.023945713,1.023945713,1.023945713,1.023945719,681
0.167039418,1.027885294,1.027885294,1.027885294,1.027885288,692
0.17734099,1.024334908,1.024334908,1.024334908,1.024334908,703
0.184994248,1.019092941,1.019092941,1.019092941,1.019092929,714
0.147714174,1.036029625,1.036029577,1.036029625,1.036029601,725
0.154104286,1.033937645,1.033937645,1.033937645,1.033937645,736
0.174809627,1.022229052,1.022229004,1.022229052,1.022229034,747
0.19696054,1.010445166,1.010445118,1.01044516,1.010445142,758
0.132767107,1.043296957,1.043296957,1.043296957,1.043296945,769
0.165280858,1.025920725,1.025920725,1.025920725,1.025920725,780
0.148361374,1.03608079,1.036080742,1.03608079,1.036080766,791
0.173271805,1.023485518,1.023485518,1.023485559,1.023485535,802
0.148887958,1.035428286,1.035428286,1.035428286,1.035428286,813
0.1748576,1.02306838,1.02306838,1.02306838,1.023068374,824
0.148561294,1.036050177,1.036050177,1.036050177,1.036050177,835
0.146154383,1.035580826,1.035580826,1.035580826,1.035580826,846
0.152809568,1.03081398,1.03081398,1.03081398,1.030813986,857
0.161980314,1.027770853,1.027770853,1.027770853,1.027770859,868
0.160254302,1.030178308,1.030178308,1.030178308,1.030178303,879
0.157674849,1.031395435,1.031395435,1.031395435,1.031395435,890
0.176091927,1.023954868,1.023954821,1.023954862,1.023954844,901
0.139362294,1.038589334,1.038589334,1.038589334,1.038589334,912
0.165697438,1.027388287,1.027388287,1.027388334,1.02738831,923
0.14985804,1.037462759,1.037462759,1.037462759,1.037462747,934
0.17238398,1.024624634,1.024624634,1.024624676,1.024624652,945
0.148540014,1.038629007,1.038629007,1.038629007,1.038629007,956
0.154005498,1.033030558,1.033030558,1.033030558,1.033030546,967
0.177243245,1.023804617,1.023804617,1.023804617,1.023804611,978
0.17067389,1.026767778,1.026767778,1.026767778,1.026767778,989
0.169275194,1.027173424,1.027173424,1.027173424,1.027173424,1000
0.171082953,1.02440033,1.02440033,1.02440033,1.024400318,1011
0.174810046,1.023918772,1.023918772,1.023918772,1.023918766,1022
0.158105478,1.031589079,1.031589079,1.031589079,1.031589073,1033
0.144129417,1.040289736,1.040289736,1.040289736,1.040289736,1044
0.167064091,1.02740407,1.02740407,1.02740407,1.027404064,1055
0.149217769,1.035952473,1.035952425,1.035952473,1.035952449,1066
0.151895184,1.02680459,1.02680459,1.02680459,1.02680459,1077
0.161115925,1.021721745,1.021721745,1.021721745,1.021721745,1088
0.13808552,1.041263866,1.041263866,1.041263914,1.04126389,1099
0.126777899,1.047602367,1.047602367,1.047602367,1.047602361,1110
0.123688118,1.047953844,1.047953844,1.047953844,1.047953844,1121
0.139600176,1.039914703,1.039914703,1.039914703,1.039914709,1132
0.124831384,1.048867893,1.048867893,1.048867893,1.048867887,1143
0.143185484,1.040177011,1.040177011,1.040177011,1.040177006,1154
0.138486908,1.040972662,1.040972662,1.040972662,1.040972656,1165
0.146928997,1.038547421,1.038547421,1.038547421,1.038547426,1176
0.126855104,1.04430418,1.04430418,1.04430418,1.04430418,1187
0.115330468,1.050504971,1.050504971,1.050504971,1.050504965,1198
0.134082939,1.042967367,1.042967367,1.042967367,1.042967373,1209
0.153736903,1.034508133,1.034508133,1.034508228,1.034508187,1220
0.151043157,1.034626102,1.034626102,1.034626102,1.034626102,1231
0.137025491,1.042797422,1.042797422,1.042797422,1.042797416,1242
0.163061211,1.027668476,1.027668476,1.027668476,1.027668476,1253
0.179102146,1.022838688,1.022838688,1.022838688,1.022838688,1264
